>call python -m cProfile -s time d:profile-arcpy-listFC.py

Looking in "X:\Env-dat.081\source\yt_courbe_niveau_imperial.gdb"
         43929 function calls (41929 primitive calls) in 2099.317 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2072.454 2072.454 2072.454 2072.454 {built-in method listfeatureclasses}
        1    0.000    0.000 2072.455 2072.455 __init__.py:860(ListFeatureClasses)
        1    0.000    0.000    2.710    2.710 _base.py:53(__init__)
       14    0.000    0.000    0.000    0.000 numerictypes.py:182(english_capitalize)
        1    0.000    0.000    0.000    0.000 polynomial.py:928(poly1d)
        1    0.000    0.000    0.000    0.000 _mapping.py:1155(PageLayout)
       30    0.000    0.000    0.000    0.000 {issubclass}
       69    0.000    0.000    0.000    0.000 glob.py:77(<lambda>)
        4    0.000    0.000    0.000    0.000 core.py:90(doc_note)
        8    0.000    0.000    0.000    0.000 core.py:7132(__init__)
       24    0.000    0.000    0.000    0.000 sre_parse.py:211(isident)
       68    0.000    0.000    0.000    0.000 {globals}
       46    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 mixins.py:626(MapDocumentMixin)
        1    0.000    0.000    0.000    0.000 threading.py:638(Thread)
        1    0.000    0.000    0.000    0.000 arcobjects.py:113(Extent)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
       28    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 arcobjects.py:918(Parameter)
        9    0.000    0.000    0.000    0.000 extras.py:239(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
      119    0.000    0.000    0.000    0.000 {callable}
       87    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(PageSize)
        9    0.000    0.000    0.000    0.000 core.py:2430(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:236(NameValidator)
        1    0.000    0.000    0.000    0.000 _mapping.py:829(MapDocument)
       49    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _mapping.py:317(DataDrivenPages)
        2    0.000    0.000    0.000    0.000 fnmatch.py:81(translate)
       15    0.000    0.000    0.000    0.000 ntpath.py:196(basename)
        1    0.000    0.000    0.000    0.000 {_locale.setlocale}
       19    0.000    0.000    0.000    0.000 tokenize.py:44(group)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
