Looking in "D:\s\yt_courbe_niveau_imperial.gdb" 
Feature classes found: 424
         43925 function calls (41924 primitive calls) in 27.475 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      113    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    2.273    2.273 _base.py:53(__init__)
       21    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 mixins.py:306(LayerSymbologySpecializationMixin)
        6    0.000    0.000    0.005    0.001 string.py:148(substitute)
        1    0.000    0.000    0.000    0.000 mixins.py:288(LayoutElementSpecializationMixin)
        4    0.000    0.000    0.000    0.000 sre_parse.py:217(isname)
       40    0.000    0.000    0.000    0.000 _base.py:514(<genexpr>)
        1    0.000    0.000    0.000    0.000 interop.py:17(<module>)
      121    0.000    0.000    0.000    0.000 {any}
        1    0.000    0.000    0.000    0.000 _methods.py:4(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:37(iscode)
        1    0.000    0.000    0.000    0.000 _graph.py:306(Graph)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:242(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        1    0.000    0.000    0.000    0.000 stpm.py:15(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 uuid.py:53(UUID)
       19    0.000    0.000    0.000    0.000 ntpath.py:203(dirname)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
        1    0.000    0.000    3.300    3.300 _base.py:532(set_)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
       23    0.000    0.000    0.000    0.000 {method 'replace' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 _mapping.py:591(Layer)
        2    0.000    0.000    0.000    0.000 utils.py:157(deprecate)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        3    0.000    0.000    0.000    0.000 re.py:204(escape)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
       28    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       35    0.000    0.000    0.000    0.000 _base.py:522(<genexpr>)
        1    0.000    0.000    0.000    0.000 arcobjects.py:113(Extent)
        1    0.000    0.000    0.000    0.000 defmatrix.py:195(matrix)
        1    0.000    0.000    0.000    0.000 util.py:9(_get_build_version)
        2    0.000    0.000    0.002    0.001 glob.py:66(glob1)
        1    0.000    0.000    0.000    0.000 arcobjects.py:720(Geometry)
        1    0.000    0.000    0.000    0.000 arraypad.py:4(<module>)
       15    0.000    0.000    0.000    0.000 glob.py:94(has_magic)
        8    0.000    0.000    0.000    0.000 core.py:7132(__init__)
        1    0.000    0.000    0.000    0.000 {sorted}
       14    0.000    0.000    0.000    0.000 numerictypes.py:182(english_capitalize)
        9    0.000    0.000    0.000    0.000 extras.py:239(__init__)
       70    0.000    0.000    0.000    0.000 glob.py:77(<lambda>)
       87    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        9    0.000    0.000    0.000    0.000 core.py:2436(getdoc)
        2    0.000    0.000    0.000    0.000 getlimits.py:267(max)
        4    0.000    0.000    0.000    0.000 core.py:90(doc_note)
       19    0.000    0.000    0.000    0.000 tokenize.py:44(group)
       15    0.000    0.000    0.000    0.000 sre_compile.py:52(fixup)
        1    0.000    0.000    0.000    0.000 _iotools.py:456(StringConverter)
        1    0.000    0.000    0.000    0.000 arcobjects.py:918(Parameter)
       49    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 _base.py:539(GPEnvironment)
        1    0.000    0.000    0.000    0.000 _mapping.py:829(MapDocument)
        1    0.000    0.000    0.000    0.000 _base.py:540(overwriteOutput)
       23    0.000    0.000    0.000    0.000 {method 'lower' of 'unicode' objects}
      119    0.000    0.000    0.000    0.000 {callable}
       46    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
       30    0.000    0.000    0.000    0.000 {issubclass}
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
